datetime,portfolio_value,cash,return
2019-01-02 09:30:00-05:00,100000.0,100000.0,
2019-01-03 09:30:00-05:00,100002.25,99754.02000427246,2.250000000003638e-05
2019-01-04 09:30:00-05:00,100000.9700012207,99505.79000854492,-1.279969979972595e-05
2019-01-05 09:30:00-05:00,100000.9700012207,99258.20001220703,0.0
2019-01-07 09:30:00-05:00,100016.27001953125,99258.20001220703,0.00015299869901630458
2019-01-08 09:30:00-05:00,100032.7900390625,99005.51000976562,0.00016517332158083597
2019-01-09 09:30:00-05:00,100036.48999023438,98748.6900024414,3.698738354129816e-05
2019-01-10 09:30:00-05:00,100028.69006347656,98491.13000488281,-7.797081603500011e-05
2019-01-11 09:30:00-05:00,100038.62994384766,98234.86999511719,9.93702943103969e-05
2019-01-12 09:30:00-05:00,100038.62994384766,97977.1900024414,0.0
2019-01-14 09:30:00-05:00,100032.0698852539,97977.1900024414,-6.557525425365807e-05
2019-01-15 09:30:00-05:00,100040.71008300781,97720.33001708984,8.637427740731951e-05
2019-01-16 09:30:00-05:00,100070.80987548828,97462.51000976562,0.00030087543816414986
2019-01-17 09:30:00-05:00,100061.79013061523,97201.68002319336,-9.013362522269919e-05
2019-01-18 09:30:00-05:00,100121.43014526367,96941.67001342773,0.0005960318576210266
2019-01-19 09:30:00-05:00,100121.43014526367,96676.6900024414,0.0
2019-01-22 09:30:00-05:00,100119.35009765625,96676.6900024414,-2.0775248659621326e-05
2019-01-23 09:30:00-05:00,100108.01013183594,96411.86999511719,-0.00011326447693926767
2019-01-24 09:30:00-05:00,100096.00985717773,96147.85998535156,-0.0001198732713036943
2019-01-25 09:30:00-05:00,100134.40975952148,95884.64999389648,0.00038363070015012823
2019-01-26 09:30:00-05:00,100134.40975952148,95619.04000854492,0.0
2019-01-28 09:30:00-05:00,100096.67025756836,95619.04000854492,-0.000376888444679091
2019-01-29 09:30:00-05:00,100106.2102355957,95355.64999389648,9.530764612653009e-05
2019-01-30 09:30:00-05:00,100128.63009643555,95091.72998046875,0.00022396073916963743
2019-01-31 09:30:00-05:00,100176.83016967773,94826.62997436523,0.00048138153089438696
2019-02-01 09:30:00-05:00,100232.26983642578,94559.11996459961,0.000553418057390509
2019-02-02 09:30:00-05:00,100232.26983642578,94288.96997070312,0.0
2019-02-04 09:30:00-05:00,100231.3896484375,94288.96997070312,-8.781483146313995e-06
2019-02-05 09:30:00-05:00,100284.9800415039,94018.85998535156,0.0005346667671113359
2019-02-06 09:30:00-05:00,100293.38018798828,93746.41998291016,8.376275770216601e-05
2019-02-07 09:30:00-05:00,100247.13003540039,93473.62997436523,-0.00046114860722812345
2019-02-08 09:30:00-05:00,100190.18997192383,93202.68997192383,-0.0005679969437175636
2019-02-09 09:30:00-05:00,100190.18997192383,92933.93997192383,0.0
2019-02-11 09:30:00-05:00,100256.34030151367,92933.93997192383,0.0006602475712280675
2019-02-12 09:30:00-05:00,100290.50033569336,92662.7399597168,0.0003407269213793196
2019-02-13 09:30:00-05:00,100366.18991088867,92390.31994628906,0.0007547033362278466
2019-02-14 09:30:00-05:00,100328.68991088867,92115.28994750977,-0.0003736317980516102
2019-02-15 09:30:00-05:00,100408.6694946289,91841.50994873047,0.0007971756016276199
2019-02-16 09:30:00-05:00,100408.6694946289,91565.1499633789,0.0
2019-02-19 09:30:00-05:00,100412.5103149414,91565.1499633789,3.825187936290497e-05
2019-02-20 09:30:00-05:00,100456.39987182617,91288.66995239258,0.0004370925171286455
2019-02-21 09:30:00-05:00,100452.66036987305,91010.85995483398,-3.722512411252765e-05
2019-02-22 09:30:00-05:00,100467.00942993164,90733.15994262695,0.0001428440023962807
2019-02-23 09:30:00-05:00,100467.00942993164,90455.04995727539,0.0
2019-02-25 09:30:00-05:00,100561.3303527832,90455.04995727539,0.0009388248280381983
2019-02-26 09:30:00-05:00,100502.13012695312,90174.31994628906,-0.0005886977193161336
2019-02-27 09:30:00-05:00,100478.94952392578,89895.18994140625,-0.00023064787779181195
2019-02-28 09:30:00-05:00,100496.10961914062,89616.66995239258,0.0001707829878412337
2019-03-01 09:30:00-05:00,100555.31005859375,89337.7099609375,0.0005890819025480276
2019-03-02 09:30:00-05:00,100555.31005859375,89057.2699584961,0.0
2019-03-04 09:30:00-05:00,100602.87020874023,89057.2699584961,0.0004729750235843433
2019-03-05 09:30:00-05:00,100516.3503112793,88775.66995239258,-0.0008600142051754522
2019-03-06 09:30:00-05:00,100499.57968139648,88496.12994384766,-0.000166844795208676
2019-03-07 09:30:00-05:00,100397.49935913086,88216.97994995117,-0.0010157288477149473
2019-03-08 09:30:00-05:00,100222.45007324219,87940.1499633789,-0.0017435622102748294
2019-03-09 09:30:00-05:00,100222.45007324219,87667.2099609375,0.0
2019-03-11 09:30:00-04:00,100503.96984863281,87667.2099609375,0.002808949244255121
2019-03-12 09:30:00-04:00,100570.71047973633,87388.1499633789,0.0006640596506191088
2019-03-13 09:30:00-04:00,100613.42971801758,87107.66995239258,0.000424768186259028
2019-03-14 09:30:00-04:00,100572.76037597656,86826.29995727539,-0.00040421385251443454
2019-03-15 09:30:00-04:00,100572.76037597656,86545.75994873047,0.0
2019-03-16 09:30:00-04:00,100572.76037597656,86265.21994018555,0.0
2019-03-18 09:30:00-04:00,100724.23043823242,86265.21994018555,0.001506074425019266
2019-03-19 09:30:00-04:00,100654.03012084961,85981.70993041992,-0.000696955609165606
2019-03-20 09:30:00-04:00,100573.470703125,85699.54992675781,-0.0008003595844884304
2019-03-21 09:30:00-04:00,100712.78997802734,85418.90991210938,0.0013852487532581836
2019-03-22 09:30:00-04:00,100712.78997802734,85135.68991088867,0.0
2019-03-23 09:30:00-04:00,100712.78997802734,84852.46990966797,0.0
2019-03-25 09:30:00-04:00,100587.90936279297,84852.46990966797,-0.0012399677862326985
2019-03-26 09:30:00-04:00,100594.74908447266,84571.4799194336,6.799745340191343e-05
2019-03-27 09:30:00-04:00,100550.67028808594,84290.36993408203,-0.0004381818811407534
2019-03-28 09:30:00-04:00,100671.03079223633,84010.01992797852,0.0011970134441228186
2019-03-29 09:30:00-04:00,100671.03079223633,83727.62991333008,0.0
2019-03-30 09:30:00-04:00,100671.03079223633,83445.23989868164,0.0
2019-04-01 09:30:00-04:00,100893.68041992188,83445.23989868164,0.0022116553881825762
2019-04-02 09:30:00-04:00,100973.04034423828,83159.19989013672,0.0007865698226698914
2019-04-03 09:30:00-04:00,100939.0198059082,82871.8798828125,-0.00033692694816456203
2019-04-04 09:30:00-04:00,101011.9807434082,82585.0998840332,0.0007228219338795139
2019-04-05 09:30:00-04:00,101011.9807434082,82297.17987060547,0.0
2019-04-06 09:30:00-04:00,101011.9807434082,82009.25985717773,0.0
2019-04-08 09:30:00-04:00,100998.77993774414,82009.25985717773,-0.00013068554409989552
2019-04-09 09:30:00-04:00,101002.12911987305,81721.53985595703,3.316061967262307e-05
2019-04-10 09:30:00-04:00,101074.20895385742,81433.76986694336,0.0007136466786639151
2019-04-11 09:30:00-04:00,101154.9398803711,81144.9398803711,0.0007987292440796434
2019-04-12 09:30:00-04:00,101154.9398803711,80854.9398803711,0.0
2019-04-13 09:30:00-04:00,101154.9398803711,80564.9398803711,0.0
2019-04-15 09:30:00-04:00,101222.39074707031,80564.9398803711,0.0006668074419202696
2019-04-16 09:30:00-04:00,101254.78942871094,80273.98986816406,0.00032007425828917135
2019-04-17 09:30:00-04:00,101159.89031982422,79982.58987426758,-0.000937230815669543
2019-04-18 09:30:00-04:00,101159.89031982422,79692.48986816406,0.0
